Band,Song,Player,Technique,Difficulty,Score
Tool,Intension,B. Harmonics,['Electric Guitar (clean)'],Intermediate,3/8
Understanding For Nesny,Black Mind,Pista 6,['Electric Guitar (jazz)'],Intermediate,4/8
The Scarecrows,The Black Song,Jon Perfec,['Distortion Guitar'],Intermediate,3/8
Wolvespirit,Blowin´Up,Spur 1,['Acoustic Guitar (steel)'],Intermediate,3/8
123asd,Pl,,['Distortion Guitar'],Intermediate,3/8
123asd,Sun,,['Distortion Guitar'],Intermediate,4/8
Muse,Sunburn ,,['Distortion Guitar'],Intermediate,4/8
Muse,Stockholm Syndrome ,,['Distortion Guitar'],Beginner,1/8
123asd,Ps,,['Distortion Guitar'],Intermediate,3/8
Muse,Psycho ,,['Distortion Guitar'],Beginner,2/8
123asd,Def,,['Distortion Guitar'],Intermediate,3/8
Muse,Jfk + Defector ,,['Distortion Guitar'],Beginner,1/8
123asd,Mc,,['Distortion Guitar'],Intermediate,3/8
123asd,St,,['Distortion Guitar'],Intermediate,3/8
Muse,Micro Cuts ,,['Distortion Guitar'],Beginner,2/8
123asd,Wo,,['Distortion Guitar'],Intermediate,3/8
Custom Songs,Hero Comes Home,levi,['Acoustic Guitar (steel)'],Intermediate,3/8
Switchfoot,Head Over Heels In This Life,,['Distortion Guitar'],Intermediate,3/8
InMe,Seven Weeks,,['Distortion Guitar 2'],Intermediate,3/8
Daniel Munoz,Tantan,Pista 2,['Overdriven Guitar'],Intermediate,3/8
Silver City,Bass Melody,,['Overdriven Guitar'],Intermediate,3/8
Kane,As Long As You Want This,,['Overdriven Guitar'],Intermediate,3/8
Cinderella,Dead Mans Road,,['Acoustic Guitar (steel)'],Beginner,1/8
I Mother Earth,Soft Bomb Salad,,['Distortion Guitar'],Intermediate,3/8
Lindemann,To Delete,,['Overdriven Guitar'],Intermediate,3/8
Ignite,Burned Up,w/ Dist,['Overdriven Guitar'],Intermediate,3/8
Stutterfly,Through Me,w/finger,['Distortion Guitar'],Intermediate,3/8
Scary Kids Scaring Kids,World As We Know It,,['Electric Guitar (clean)'],Intermediate,3/8
Scorpions,Still In Love With You,,['Acoustic Guitar (nylon)'],Beginner,1/8
Amen,Under The Robe,,['Overdriven Guitar'],Intermediate,3/8
Amen,CK Killer,,['Overdriven Guitar'],Intermediate,3/8
Amen,Piss Virus,,['Distortion Guitar'],Intermediate,3/8
Death,Sacrificial,Chuck,['Acoustic Guitar (steel)'],Beginner,1/8
Mokoma,Hiljaisuuden Julistaja,,['Overdriven Guitar'],Beginner,2/8
Annihilator,Ritual,,['Acoustic Guitar (nylon)'],Intermediate,3/8
Funeral For A Friend,Kicking And Screaming,Gavin Burrough,['Distortion Guitar'],Beginner,1/8
Gamma Ray,Dethrone Tyranny,,['Acoustic Guitar (nylon)'],Intermediate,4/8
The Call,Shayad,,['Overdriven Guitar'],Beginner,1/8
Tool,H.,,['Overdriven Guitar'],Beginner,1/8
Apocalyptica,Worlds Collide,,['Distortion Guitar'],Intermediate,3/8
Grinspoon,Carried Away,,"['Guitar harmonics', 'Whammy Guitar']",Intermediate,3/8
Hatebreed,As Damaged As Me,Track 3,['Overdriven Guitar'],Beginner,2/8
S.O.D.,Sargent D And The Sod,Pista 2,['Overdriven Guitar'],Intermediate,3/8
Ministry,Useless,,['Overdriven Guitar'],Intermediate,3/8
Mamamama,Asesin,,['Distortion Guitar'],Intermediate,3/8
Muse,Assassin  + Grand Omega Riff,,['Distortion Guitar'],Intermediate,3/8
Mamamama,La Asesin,,['Distortion Guitar'],Intermediate,3/8
Muse,Assassin Live ,,['Distortion Guitar'],Intermediate,3/8
Mamamamama,Yss Pls,,['Distortion Guitar'],Intermediate,3/8
123asd,Ts,,['Distortion Guitar'],Intermediate,3/8
Muse,Yes Please,,['Distortion Guitar'],Intermediate,3/8
Muse,The Small Print,,['Distortion Guitar'],Beginner,1/8
Gilang,Fiction,,['Distortion Guitar'],Intermediate,4/8
Dieicuno,Detrás de mí ,Track 3,['Acoustic Guitar (steel)'],Intermediate,3/8
Hundred Reasons,Silver,,"['Acoustic Guitar (nylon)', 'Bass Guitar']",Intermediate,3/8
Royal Blood,"Hook, Line & Sinker",Mike,['Distortion Guitar'],Intermediate,3/8
MSB Competition November 2004,I Want Justice,,['Overdriven Guitar'],Intermediate,3/8
123asd,P,,['Distortion Guitar'],Intermediate,3/8
Black Rebel Motorcycle Club,Shade Of Blue,,['Electric Guitar (jazz)'],Beginner,1/8
Black Rebel Motorcycle Club,Heart & Soul,,['Electric Guitar (jazz)'],Intermediate,3/8
Glassjaw,Twos Of Mescaline,,['Distortion Guitar'],Beginner,1/8
Coldplay,Charlie Brown,Effects 2,['Distortion Guitar'],Intermediate,4/8
The Dear Hunter,The Most Cursed Of Hands / Who Am I,,['Acoustic Guitar (steel)'],Beginner,1/8
Ministry,Lay Lady Lay,,['Overdriven Guitar'],Beginner,1/8
Muse,Blockades,,['Distortion Guitar'],Beginner,1/8
Testman,Midi Surf,Track 3,['Acoustic Guitar (steel)'],Intermediate,3/8
Royal Blood,Lights Out,,['Distortion Guitar'],Beginner,2/8
Yesn't,shred wars ,,['Acoustic Guitar (steel)'],Beginner,1/8
Soprano,Welcome To The Family,Kate,['Acoustic Guitar (steel)'],Beginner,2/8
Lokhanov,Four,,['Overdriven Guitar'],Advanced,8/8
Save Us From The Archon,Within Walls,Bradley,['Acoustic Guitar (steel)'],Intermediate,3/8
Save Us From The Archon,Thread Between,Bradley,['Acoustic Guitar (steel)'],Intermediate,3/8
Save Us From The Archon,Trancing Nostalgia,Bradley,['Acoustic Guitar (steel)'],Beginner,2/8
Save Us From The Archon,Until We Unfold,Bradley,['Acoustic Guitar (steel)'],Intermediate,3/8
Save Us From The Archon,Of Forgiveness,Bradley,['Acoustic Guitar (steel)'],Intermediate,3/8
Save Us From The Archon,To Find Clarity,Bradley,['Acoustic Guitar (steel)'],Intermediate,3/8
Fikko,160819,fx bajo,['Distortion Guitar'],Intermediate,5/8
Bdubjowizzle,jberg04,Track 1,['Acoustic Guitar (steel)'],Intermediate,3/8
Tool,Jambi,,['Distortion Guitar'],Beginner,2/8
Muse,Reapers,Chris Wolstenholme,['Distortion Guitar'],Intermediate,4/8
9kt,bre 2,Pista 12,['Acoustic Guitar (steel)'],Intermediate,3/8
Rendevous,Shape of You ,Nima,['Distortion Guitar'],Beginner,1/8
Fart,Cancion En Drop,,['Distortion Guitar'],Intermediate,3/8
Royal Blood,You Can Be So Cruel,,['Distortion Guitar'],Beginner,2/8
Rendevous,Schism Cover,,['Distortion Guitar'],Intermediate,5/8
Muse,Assassin,Chris effects,['Distortion Guitar'],Intermediate,3/8
Melvins,Night Goat,,['Overdriven Guitar'],Beginner,1/8
Concepts,Groove,,['Overdriven Guitar'],Intermediate,3/8
Muse,Plug In Baby ,,"['Distortion Guitar', 'Chris Wolstenholme (Guitar)']",Beginner,2/8
Muse,New Born ver7,,['Overdriven Guitar'],Beginner,2/8
Luisxvilp811,L. 032,Pista 4,['Acoustic Guitar (steel)'],Intermediate,3/8
Dum Dum Girls,Evil Blooms,,['Overdriven Guitar'],Intermediate,3/8
Avenged Sevenfold,God Hates Us,Johnny Christ,['Acoustic Guitar (steel)'],Beginner,2/8
Muse,Hyper Music,,['Distortion Guitar'],Intermediate,4/8
Avenged Sevenfold,Roman Sky ver.2,,['Acoustic Guitar (steel)'],Intermediate,3/8
Devándal,culos666,Flos Fuzz,['Distortion Guitar'],Intermediate,3/8
Slaver,Be nothing,,['Distortion Guitar'],Intermediate,4/8
Yoshiya Terayama,Voltaic Black Knight ,,['Distortion Guitar'],Intermediate,3/8
Tool,Invincible,Justin,['Distortion Guitar'],Intermediate,3/8
Cum Laudes,Bass Album Opener,,['Distortion Guitar'],Intermediate,3/8
Muse,Stockholm Syndrome ,,['Distortion Guitar'],Intermediate,3/8
Pesho,za koncerta 1,NorkaMotorka,['Acoustic Guitar (steel)'],Intermediate,3/8
Muse,The Small Print ,,"['Distortion Guitar', 'Bass Guitar']",Intermediate,3/8
Slaver,Buy night,,['Distortion Guitar'],Intermediate,3/8
Jilstrom,test,Tim Commerford,['Distortion Guitar'],Intermediate,3/8
Lemon Demon,Word Disassociation,,['Distortion Guitar'],Beginner,1/8
Megadeth,A Tout Le Monde,Marty Friedman,['Distortion Guitar'],Intermediate,3/8
Guns N' Roses,Sweet Child O' Mine,Slash,['Electric Guitar (jazz)'],Beginner,2/8
Alice in Chains,Would?,Jerry Cantrell (Gui.2),['Distortion Guitar'],Intermediate,3/8
Van Halen,Ain't Talkin' 'Bout Love,Eddie Van Halen ,['Distortion Guitar'],Beginner,2/8
Dream Theater,Stream of Consciousness,,"['Distortion Guitar', 'Main Guitar']",Intermediate,4/8
Michael Jackson,Beat It,Steve Lukather,['Distortion Guitar'],Beginner,2/8
Stratovarius,Visions ,Tolkki Lead,['Overdriven Guitar'],Intermediate,4/8
Yngwie Malmsteen,Vengeance,,"['Distortion Guitar', 'Solo Guitar']",Advanced,7/8
Guns N' Roses,Rocket Queen,,"['Distortion Guitar', 'Guitar 1 (Slash)']",Intermediate,4/8
HammerFall,Riders Of The Storm,,"['Distortion Guitar', 'Guitar 2']",Beginner,2/8
Misfits,Dig Up Her Bones,Doyle Wolfgang von Frankenstein,['Distortion Guitar'],Intermediate,4/8
Dokken,Alone Again,,"['Distortion Guitar', 'Lead Guitar']",Intermediate,3/8
Stratovarius,Eternity,Tolkki,['Distortion Guitar'],Intermediate,3/8
Metallica,Bleeding Me,James Hetfield Clean,['Electric Guitar (clean)'],Beginner,2/8
Slayer,Spill The Blood,Jeff Hanneman,['Distortion Guitar'],Beginner,2/8
Megadeth,The Killing Road,Dave Mustaine,['Distortion Guitar'],Beginner,2/8
Saxon,747 Strangers In The Night,,"['Distortion Guitar', 'Guitar 1']",Beginner,2/8
Stratovarius,Soul Of A Vagabond,,"['Distortion Guitar', 'Guitar Overdubb']",Beginner,1/8
Megadeth,Addicted To Chaos,,"['Distortion Guitar', 'Guitar 3 (Fills and Solo)']",Intermediate,4/8
Saxon,I've Got To Rock To Stay Alive,,"['Distortion Guitar', 'Paul Quinn (Guitar)']",Beginner,2/8
Saxon,Battering Ram,Doug Scarratt,['Distortion Guitar'],Intermediate,3/8
KISS,God Gave Rock And Roll To You,,"['Overdriven Guitar', 'Lead Guitar']",Intermediate,3/8
Guns N' Roses,This I Love,Robin Finck,"['Lead Guitar', 'Overdriven Guitar']",Intermediate,3/8
Van Halen,Runaround,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
Sungha Jung,Reminiscence,Æ®·¢ 1,['Acoustic Guitar (steel)'],Intermediate,4/8
Steve Hansen,DADDY! DADDY! DO! - Kaguya-sama Love is War S2 OP,,"['Acoustic Guitar (steel)', 'Steel Guitar']",Intermediate,3/8
Ancient Enemy,Heist of the Scarab Amulet ,,"['Distortion Guitar', 'Dave Guitar']",Intermediate,3/8
Nirvana,If You Must,,"['Overdriven Guitar', 'Guitar (Kurt Kobain)']",Beginner,2/8
Tyoma,Black Cat,,['Distortion Guitar'],Beginner,2/8
Impellitteri,Fly Away,Solo,['Overdriven Guitar'],Advanced,8/8
Unnamed,Song 2,,['Overdriven Guitar'],Beginner,2/8
Buckethead,Dancing in the Snow ,Track 1,['Acoustic Guitar (steel)'],Intermediate,3/8
Quixöte,Spectra ,Pista 1,['Distortion Guitar'],Beginner,2/8
Quixöte,El Caballero Del Infierno Acústico,Pista 2,['Acoustic Guitar (steel)'],Intermediate,3/8
Lithium,Cold Pizza,Tom,['Distortion Guitar'],Beginner,2/8
Lithium,Creation,Tom,['Distortion Guitar'],Beginner,2/8
Metallica,Justice / Spangled Intro,Kirk Hammett,['Electric Guitar (jazz)'],Beginner,2/8
First Of October,Do You Want To?,Rob Scallon,"['Guitar', 'Overdriven Guitar']",Beginner,2/8
Slaver (Test),Acoustic Metal,Clean 1,['Electric Guitar (clean)'],Intermediate,3/8
Kirisute,Kiri #1,,"['Acoustic Guitar (nylon)', 'Nylon Guitar']",Beginner,2/8
Alice in Chains,Don't Follow,Track 1,['Acoustic Guitar (steel)'],Beginner,2/8
Waterparks,Blonde,Geoff,"['Lead Guitar', 'Distortion Guitar']",Beginner,2/8
Pierce The Veil,Caraphernelia,Vic Fuentes,['Acoustic Guitar (steel)'],Beginner,1/8
Lithium,Welt Marks,Tom,['Distortion Guitar'],Intermediate,4/8
Lithium,Jack Off,Tom,['Distortion Guitar'],Beginner,2/8
Lithium,Shafted,Tom,['Distortion Guitar'],Intermediate,3/8
Lithium,My Glass Is Half Empty,```Tom,['Distortion Guitar'],Beginner,2/8
Galneryus,Raise My Sword Solo,Track 1,['Distortion Guitar'],Advanced,8/8
Candlemass,Black Stone Wielder,,"['Distortion Guitar', 'Rhythm Guitar']",Intermediate,3/8
Tank,Walking Barefoot Over Glass,,"['Distortion Guitar', 'Guitar 1']",Intermediate,3/8
Nirvana,Beeswax,Kurt Cobain,['Distortion Guitar'],Beginner,2/8
Manilla Road,Necropolis,,"['Overdriven Guitar', 'Additional Guitar']",Beginner,2/8
Lithium,Oily Hair,`Tom,['Distortion Guitar'],Intermediate,4/8
Cattle Decapitation,Kingdom Of Tyrants,Josh Elmore (Rhythm),['Distortion Guitar'],Intermediate,4/8
Tyoma,The King Of Judea,,['Distortion Guitar 3'],Intermediate,5/8
Dark Funeral,The Arrival of Satan's Empire,Track 1,['Distortion Guitar'],Intermediate,4/8
Extreme,Play With Me - Solo,Nuno Bettencourt,"['Guitar Solo', 'Distortion Guitar']",Advanced,8/8
Fido Jack Harper,ska,,['Distortion Guitar 1'],Beginner,2/8
Fido Jack Harper,ska,,['Distortion Guitar 1'],Beginner,2/8
Fido Jack Harper,indie,,['Overdriven Guitar 1'],Intermediate,3/8
And End...,Funeral Waltz,Track 1,['Distortion Guitar 2'],Beginner,2/8
Ethan Kral,Silience,,"['Electric Guitar (clean)', 'Guitar 2']",Intermediate,3/8
Unnamed,Song 1,,"['Electric Guitar (clean)', 'Lead Guitar']",Beginner,2/8
Serj Tankian,Bari Aragil,Track 4,['Overdriven Guitar'],Beginner,2/8
Face Of Death,Riot Uncontrol,,"['Distortion Guitar', 'Lead Guitar']",Intermediate,3/8
Its Always You,Falling Off our Seats,,"['Overdriven Guitar', 'Lead Guitar']",Beginner,2/8
Dark Funeral,Unchain My Soul,,"['Distortion Guitar 1', 'Rhythm Guitar']",Beginner,2/8
Rom,Pathways,,"['Distortion Guitar', 'Lead Guitar Left']",Intermediate,4/8
Liam Arellano (Quixöte),Frozen,Pista 3,['Distortion Guitar'],Intermediate,3/8
Jimi Hendrix,All along the watchtower easy bass,,"['Acoustic Guitar (steel)', 'Guitar II']",Beginner,2/8
Scorpions,Pictured Life,Uli Jon Roth Overdubs,['Distortion Guitar'],Intermediate,5/8
Black Sabbath,Sins Of The Father,Track 1,['Distortion Guitar'],Beginner,2/8
Tk From Ling Tosite Sigure,katharsis,rythm,['Overdriven Guitar'],Beginner,2/8
Lithium,Hourglass Figure,Tom,['Distortion Guitar'],Beginner,2/8
Sex Pistols,The Great Rock and Roll Swindle,,"['Distortion Guitar', 'Rhythmn Guitar']",Beginner,2/8
Hoodini,until it pres,James (Dist),['Distortion Guitar'],Intermediate,3/8
Lithium,Scum,Tom,['Distortion Guitar'],Beginner,2/8
Lithium,Sheep,Tom,['Distortion Guitar'],Beginner,2/8
Kirisute,Total Annihilation,Artiom,['Distortion Guitar'],Intermediate,3/8
Rage,In A Nameless Time,,['Distortion Guitar 2'],Beginner,2/8
Rage,Let Them Rest in Peace,,"['Distortion Guitar 2', 'Electric Guitar']",Intermediate,4/8
Richard Renck,Bass Groove,Pista 4,['Distortion Guitar'],Intermediate,4/8
Staind,It's Been A While,,"['Acoustic Guitar (steel)', 'Aaron Lewis (Acoustic Guitar)']",Beginner,1/8
Massacra,Seas Of Blood,,['Distortion Guitar'],Intermediate,4/8
The Killers,Smile Like You Mean It,Dave Keuning,"['Rhythm Guitar', 'Overdriven Guitar']",Beginner,2/8
Lovejoy,The Fall,Wilbur Soot,"['Rhythm Guitar', 'Overdriven Guitar']",Beginner,2/8
Lithium,Bludgeoned,Tom,['Distortion Guitar'],Beginner,2/8
Lithium,The Way I See It,,"['Acoustic Guitar (steel)', 'Tom W. (Acoustic Guitar)']",Beginner,2/8
Lithium,Make Me Cry,Tom W. (Solo),['Distortion Guitar'],Intermediate,3/8
Lithium,I Think We Should Stop Holding Hands,Tom,"['Guitar', 'Distortion Guitar']",Beginner,2/8
Lithium,Extra Numb,Tom W. (Overdubs),['Overdriven Guitar'],Beginner,2/8
Lithium,Hate You,Tom W. (Clean),['Electric Guitar (clean)'],Beginner,2/8
Lithium,For A Boy,Tom W. (Clean),['Electric Guitar (clean)'],Intermediate,3/8
Lithium,Anti-Optimist,Tom,['Distortion Guitar'],Beginner,2/8
Lithium,Out Of The Blue,Tom W. (Rhythm),['Distortion Guitar'],Beginner,2/8
Lithium,Bring It All Back,Tom W. (Overdubs),['Overdriven Guitar'],Beginner,2/8
Lithium,I'm Very Smart,Tom (Clean),['Electric Guitar (clean)'],Beginner,2/8
Lithium,Slack Off,Tom,['Electric Guitar (clean)'],Beginner,2/8
Lithium,Idiom,Tom,['Distortion Guitar'],Advanced,6/8
Majör Adamlar (Sufi),Sarı Zülfün,Ýz 2,['Electric Guitar (jazz)'],Intermediate,3/8
Lithium,Fit,Tom,['Distortion Guitar'],Intermediate,4/8
Lithium,Paracetamol,Tom,['Distortion Guitar'],Beginner,2/8
Revocation,A Visitation,Harmony,['Overdriven Guitar'],Intermediate,4/8
Tyoma,king,,['Distortion Guitar 1'],Intermediate,3/8
Slaver,Maiden Scythe,Lead,['Distortion Guitar'],Beginner,2/8
Band-Maid,DICE,Miku,['Distortion Guitar'],Beginner,2/8
Chinaski,Kafe s mlíkem,,"['Electric Guitar (clean)', 'Overdriven Guitar']",Beginner,2/8
Lazer Lloyd,Forget The World ,Harmony,['Electric Guitar (jazz)'],Beginner,2/8
Revocation,Archfiend,Acoustic,['Electric Guitar (clean)'],Intermediate,3/8
Revocation,Invidious,solo,['Distortion Guitar 1'],Intermediate,5/8
Alice in Chains,Love Hate Love,2nd Jerry,['Distortion Guitar'],Beginner,2/8
Nightmare,Ochiwa,Hitsugi Solo,['Distortion Guitar'],Intermediate,4/8
Deathblower,Kult šílenství,,['Distortion Guitar 2'],Intermediate,5/8
"Ben Mason, Joey Locastro",Song,,"['Distortion Guitar', 'Guitar Lead']",Beginner,2/8
Red Hot Chili Peppers,Black Summer,John Frusciante Solo,['Distortion Guitar'],Intermediate,3/8
Slaver,Voltage Exposure/Nevrosy,Harm.,['Electric Guitar (clean)'],Intermediate,3/8
Slaver,Picnic River Str.,,['Electric Guitar (clean)'],Intermediate,4/8
Guns N' Roses,My Michelle,Slash,['Distortion Guitar'],Intermediate,3/8
Nirvana,Should I Stay or Should I Go ,Krist Novoselic,['Electric Guitar (clean)'],Beginner,2/8
Lithium,Nail,Tom,['Distortion Guitar'],Beginner,2/8
Guns N' Roses,"Well, Well, Well My Michellle",Izzy Stradlin,['Overdriven Guitar'],Intermediate,3/8
Tom Donahue,welcome to the jungle,#3,['Distortion Guitar'],Intermediate,3/8
09093847582345,834705823475082374,Track 2,['Distortion Guitar'],Intermediate,3/8
Galneryus,T.F.F.B.,Rhythm 2,['Distortion Guitar'],Intermediate,4/8
Nightmare,Loopain,Hitsugi,['Distortion Guitar'],Beginner,2/8
Zxcv,zxcv,??,['Distortion Guitar'],Beginner,2/8
Bump Of Chicken,BUMP OF CHICKENのテーマ,??,['Distortion Guitar'],Beginner,2/8
Bump Of Chicken,BUMP OF CHICKENにのテーマ,??,['Distortion Guitar'],Beginner,2/8
Bump Of Chicken,BUMP OF CHICKENのテーマ,???,['Overdriven Guitar'],Beginner,2/8
Boc,boc,???,['Overdriven Guitar'],Beginner,2/8
Fdfd,fdfd,??,['Overdriven Guitar'],Beginner,2/8
Dfdf,dfdf,???,['Overdriven Guitar'],Beginner,2/8
Cv,cv,??,['Overdriven Guitar'],Beginner,2/8
El Canto Del Loco,Contigo,Bajo,['Electric Guitar (jazz)'],Beginner,1/8
Home Town Hero,Bed Of Dreams,,['Acoustic Guitar (nylon)'],Intermediate,3/8
Rage Against The Machine,Face Off,Track 2,['Acoustic Guitar (nylon)'],Beginner,1/8
Ramzes & The Hooligans,Kiosk,Utwór 4,['Acoustic Guitar (nylon)'],Intermediate,3/8
Patryk Rose,That Damn Love,,['Electric Guitar (jazz)'],Intermediate,3/8
Satanic Legion,Unholy Father Of Pain,,['Distortion Guitar'],Intermediate,3/8
Top Gear,Top Gear 3000 - Intro,Baixo 1,['Overdriven Guitar'],Intermediate,3/8
Nobuo Uematsu,Another World Of Beasts,,['Electric Guitar (jazz)'],Beginner,1/8
Underground Vibes,Soul Symphony,Maiko,['Overdriven Guitar'],Intermediate,3/8
Akira Yamaoka,You're Not Here,,['Distortion Guitar'],Beginner,1/8
Sum 41,Reign In Pain,Cone,['Distortion Guitar'],Intermediate,3/8
Verdena,Starless,,['Overdriven Guitar'],Intermediate,3/8
Ascelia,Consuming Love,,['Acoustic Guitar (nylon)'],Intermediate,3/8
Danzig,Let It Be Captured,Eerie Von,['Acoustic Guitar (nylon)'],Beginner,1/8
AFI,Ether,Hunter (3),['Distortion Guitar'],Beginner,2/8
Böhse Onkelz,Berstimuliert,Stefan Verzerrt,['Distortion Guitar'],Intermediate,3/8
The Subways,Shake Shake,,['Distortion Guitar'],Beginner,1/8
Verdena,Balanite,Roberta,['Distortion Guitar'],Beginner,1/8
Zakk Wylde,Bridge To Cross,Zakk,['Acoustic Guitar (nylon)'],Beginner,1/8
Black Rebel Motorcycle Club,Need Some Air,,['Distortion Guitar'],Beginner,1/8
Black Rebel Motorcycle Club,Shadows Keeper,,['Electric Guitar (jazz)'],Intermediate,3/8
Black Rebel Motorcycle Club,High Low,,['Electric Guitar (jazz)'],Beginner,1/8
Green Day,21st Century Breakdown ,,['Overdriven Guitar'],Beginner,1/8
Nightmare,Wasurena Kusa,Ni~Ya,['Distortion Guitar'],Beginner,2/8
Guns N' Roses,The Garden,,['Overdriven Guitar'],Beginner,2/8
Motorhead,No Voices In The Sky,Track 4,['Distortion Guitar'],Beginner,2/8
Michael Angelo Batio,For Whom The Bell Tolls,M.A.B,['Distortion Guitar'],Beginner,1/8
Motorhead,All For You,Lemmy,['Distortion Guitar'],Beginner,2/8
Revocation,Chaos Of Forms,,['Electric Guitar (clean)'],Intermediate,3/8
KISS,I Want You,,['Overdriven Guitar'],Beginner,2/8
Mr. Big,Still Ain't Enough For Me,,['Overdriven Guitar'],Intermediate,4/8
Kane,My Best Wasn't Good Enough,,['Acoustic Guitar (steel)'],Intermediate,3/8
Avalanch,Pelayo,,['Electric Guitar (clean)'],Beginner,1/8
Black Rebel Motorcycle Club,Let The Day Begin,,['Electric Guitar (jazz)'],Beginner,2/8
Circa Survive,Always Getting What You Want,,['Distortion Guitar 6'],Intermediate,3/8
Firehouse,Don't Treat Me Bad,,['Overdriven Guitar 2'],Beginner,1/8
Mae,Anything,,['Acoustic Guitar (steel) 5'],Beginner,1/8
Reuben,Freddy Kreuger,,['Distortion Guitar'],Intermediate,3/8
Propagandhi,Failed States,,['Distortion Guitar'],Intermediate,4/8
Motorhead,Don't Need Religion,Track 2,['Distortion Guitar'],Beginner,1/8
Motorhead,Devil I Know,,['Distortion Guitar'],Beginner,1/8
Motorhead,Ramones,Lemmy,['Distortion Guitar'],Beginner,2/8
Motorhead,Kingdom Of The Worm,Lemmy,['Overdriven Guitar'],Beginner,2/8
Motorhead,Shoot You In The Back,,['Distortion Guitar'],Beginner,1/8
Motorhead,Bite The Bullet,,['Distortion Guitar'],Intermediate,3/8
Motorhead,Dead And Gone,Lemmy,['Overdriven Guitar'],Beginner,1/8
Motorhead,Claw,Track 2,['Distortion Guitar'],Intermediate,3/8
Yngwie Malmsteen,I Am A Viking With Bass/Rhytm,,['Overdriven Guitar'],Intermediate,5/8
Freedom Call,High Enough,,['Acoustic Guitar (steel)'],Intermediate,4/8
Freedom Call,Metal Invasion,,['Acoustic Guitar (steel)'],Intermediate,4/8
Gamma Ray,Heavy Metal Universe ,,['Acoustic Guitar (steel)'],Beginner,1/8
Gamma Ray,One With The World,,['Acoustic Guitar (steel)'],Intermediate,3/8
Slayer,D.D.A.M.M.,Tom Araya,['Distortion Guitar'],Beginner,1/8
Slayer,Desintegration - Free Money,Tom Araya,['Distortion Guitar'],Intermediate,5/8
Slayer,Verbal Abuse - Leeches,Tom Araya,['Distortion Guitar'],Intermediate,5/8
Black Label Society,We Live No More,,['Acoustic Guitar (nylon)'],Beginner,1/8
Extreme,Comfortably Dumb, [octaver sound,['Overdriven Guitar'],Intermediate,5/8
In Arkadia,Somber Light,,['Acoustic Guitar (nylon)'],Intermediate,3/8
Misfits,Runaway,Jerry Only,['Overdriven Guitar'],Beginner,1/8
Old Man's Child,My Kingdom Will Come,,['Acoustic Guitar (nylon)'],Beginner,2/8
S.O.D.,Shenanigans,,['Overdriven Guitar'],Intermediate,3/8
Misfits,I Wanna Be A Ny Ranger,,['Overdriven Guitar'],Beginner,2/8
Mayhem,Freezing Moon ,Necrobutcher,['Distortion Guitar'],Beginner,1/8
Animetal,Himitsu Sentai Goranger,,['Acoustic Guitar (nylon)'],Intermediate,3/8
Animetal,Animetal No Theme II ,,['Acoustic Guitar (nylon)'],Intermediate,3/8
Animetal,Shouri Da! Akumaizer 3,,['Acoustic Guitar (nylon)'],Intermediate,3/8
Ministry,Lava,,['Distortion Guitar'],Beginner,2/8
Misfits,Abominable Dr. Phibes,Jerry Only,['Distortion Guitar'],Intermediate,3/8
Misfits,Hunting Humans,,['Distortion Guitar'],Intermediate,3/8
Animetal,Tatakae ! Denjin Zaborger,,['Acoustic Guitar (nylon)'],Intermediate,3/8
Reuben,Agony Agatha,,['Distortion Guitar'],Intermediate,3/8
Warmachine,What A Pretty Picture,,['Electric Guitar (clean)'],Intermediate,3/8
Green Mind,Condemned,Track 2,['Electric Guitar (jazz)'],Intermediate,3/8
Green Mind,Cognitive Dissonance,Track 2,['Electric Guitar (jazz)'],Intermediate,3/8
Burzum,Keliohesten,,['Electric Guitar (clean)'],Beginner,1/8
S.O.S.,Novo Ciclo ,Gonçalo,['Acoustic Guitar (steel)'],Intermediate,3/8
Motorhead,King Of Kings,Track 4,['Distortion Guitar'],Beginner,1/8
Relient K,Who I Am Hates Who I've Been,,['Acoustic Guitar (nylon)'],Beginner,1/8
Dark Tranquillity,The Mind's Eye,,"['Acoustic Guitar (nylon)', 'BackGuitar']",Beginner,1/8
Nightmare,Wasurena Kusa Budokan Version,Ni~Ya,['Distortion Guitar'],Beginner,2/8
Motorhead,I Don't Believe A Word,,['Overdriven Guitar'],Beginner,1/8
Motorhead,Hellraiser,Lemmy (God),['Overdriven Guitar'],Beginner,1/8
Protest The Hero,Led Astray,,['Acoustic Guitar (nylon)'],Intermediate,3/8
Calum Rob,ace of diamonds,,['Overdriven Guitar'],Intermediate,3/8
St. Vincent,Now Now,,['Overdriven Guitar'],Beginner,2/8
Brand New,Untitled 05,,['Overdriven Guitar'],Intermediate,3/8
Cold Cast,Country Roads,,['Acoustic Guitar (steel)'],Intermediate,3/8
Metallica,One ,,['Acoustic Guitar (nylon)'],Intermediate,3/8
Stone Sour,Hesitate,Shawn Economaki,['Acoustic Guitar (steel)'],Beginner,1/8
Misfits,Don't Open 'till Doomsday,,['Distortion Guitar'],Beginner,2/8
Metallica,Orion ,,['Distortion Guitar'],Intermediate,3/8
9kt,12,fx bajo distorsion,['Distortion Guitar'],Intermediate,4/8
Motorhead,Rock Out,Lemmy,['Distortion Guitar'],Beginner,2/8
